metric,round_robin,kv,delta_kv_vs_rr
# Qwen3.5-122B-A10B-FP8 tp1+MTP(nst=3) | Dynamo agg 1 frontend + 2 workers | H200 | vllm-runtime 1.3.0
# Workload: agentic 15% mooncake (3541 reqs, block 512, conc 8, no-schedule); 3411 completed / 130 errors both runs
# MTP forced to MEASURED acceptance length AL=2.925 (SpeedBench qualitative, real MTP)
output_token_throughput_tok_s,640.29,764.23,+19.4%
request_throughput_req_s,0.28,0.33,+17.9%
ttft_ms_mean,10499.01,4248.20,-59.5%
inter_token_latency_ms_mean,11.19,9.27,-17.2%
output_tok_s_per_user_mean,144.68,133.64,-7.6%
request_count_success,3411,3411,0
error_request_count,130,130,0
router_kv_hit_rate,0.0,0.586,n/a (kv-only metric)
frontend_cached_tokens_sum,72633264,76373616,+5.2%
# Speculative decoding (measured on SpeedBench qualitative, real MTP):
# nst=1 AL=1.825 (681 tok/s) | nst=3 AL=2.937 (895 tok/s, per-pos 0.80/0.63/0.50) | nst=5 AL=3.518 (910 tok/s)
# nst=3 shipped: nst=5 edges <2% on short-ISL SpeedBench but loses at 64k (pool-bound); nst=1 clearly worse.
