family_slug,model_family,asset_type,page_status,provider,model_id,variant,variant_role,runtime,hardware,gpu_count,serving_techniques,workload_type,traffic_shape,deploy_path,perf_path,benchmark_asset,results_asset,placeholder_needed,comparison_question,held_constant,decision_signal,notes
qwen3-32b,Qwen3-32B,comparative_recipe,Verified,Qwen,Qwen/Qwen3-32B,Disagg + KV router,Recommended treatment,vLLM,16x H200,16,Disaggregated prefill/decode; KV-aware routing,Long-context reuse,12K avg ISL conversation trace,recipes/qwen3-32b/vllm/disagg-kv-router/deploy.yaml,recipes/qwen3-32b/vllm/disagg-kv-router/perf.yaml,perf.yaml,"README plot link, numeric placeholder",expected results,Does disaggregated KV-aware routing reduce latency versus aggregated round-robin for a Mooncake conversation trace with repeated prefixes?,"Model, vLLM runtime, 16x H200 hardware, Mooncake trace replay, and goodput target.",Best candidate when prefix reuse is high enough for KV-aware routing to matter.,"The KVBM sibling remains visible, but its role is explicitly deploy-only so it cannot be mistaken for a benchmark arm. | Benchmark results should be promoted from placeholder to numeric table when the trace artifacts are checked in."
qwen3-32b,Qwen3-32B,comparative_recipe,Verified,Qwen,Qwen/Qwen3-32B,Aggregated round-robin,Control,vLLM,16x H200,16,Aggregated serving; Round-robin routing,Long-context reuse,Same fixed-schedule trace,recipes/qwen3-32b/vllm/agg-round-robin/deploy.yaml,recipes/qwen3-32b/vllm/agg-round-robin/perf.yaml,perf.yaml,"README plot link, numeric placeholder",expected results,Does disaggregated KV-aware routing reduce latency versus aggregated round-robin for a Mooncake conversation trace with repeated prefixes?,"Model, vLLM runtime, 16x H200 hardware, Mooncake trace replay, and goodput target.",Control run that removes P/D split and KV-aware routing while holding model and traffic constant.,"The KVBM sibling remains visible, but its role is explicitly deploy-only so it cannot be mistaken for a benchmark arm. | Benchmark results should be promoted from placeholder to numeric table when the trace artifacts are checked in."
qwen3-32b,Qwen3-32B,comparative_recipe,Verified,Qwen,Qwen/Qwen3-32B,Aggregated + KVBM,Deploy-only sibling,vLLM,1x H200 or B200,1,Aggregated serving,Deployment only,Functional deploy validation,recipes/qwen3-32b/vllm/agg-kvbm/deploy.yaml,,None,"README plot link, numeric placeholder",benchmark instructions; expected results,Does disaggregated KV-aware routing reduce latency versus aggregated round-robin for a Mooncake conversation trace with repeated prefixes?,"Model, vLLM runtime, 16x H200 hardware, Mooncake trace replay, and goodput target.",Use for KVBM deployment mechanics; do not include in the trace comparison until a perf.yaml exists.,"The KVBM sibling remains visible, but its role is explicitly deploy-only so it cannot be mistaken for a benchmark arm. | Benchmark results should be promoted from placeholder to numeric table when the trace artifacts are checked in."
deepseek-v3-2-nvfp4,DeepSeek V3.2 NVFP4,comparative_recipe,Verified,NVIDIA checkpoint / DeepSeek,nvidia/DeepSeek-V3.2-NVFP4,Disagg + KV router + WideEP,Recommended treatment,TRT-LLM,32x GB200,32,Disaggregated prefill/decode; KV-aware routing; WideEP,Long-context reuse,39K avg ISL coding trace,recipes/deepseek-v32-fp4/trtllm/disagg-kv-router/deploy.yaml,recipes/deepseek-v32-fp4/trtllm/disagg-kv-router/perf.yaml,perf.yaml,"README plot link, numeric placeholder",expected results,Does disaggregated KV-aware routing with WideEP improve latency and goodput against an aggregated round-robin control?,"Model, TensorRT-LLM runtime, 32x GB200 target, synthetic coding trace, and TTFT/ITL thresholds.","Tests KV-aware routing, P/D split, and WideEP together on the target trace.",Throughput is fixed by the replay schedule; latency and goodput are the comparison signals. | Numeric result placeholders remain until the source recipe includes benchmark tables or artifacts.
deepseek-v3-2-nvfp4,DeepSeek V3.2 NVFP4,comparative_recipe,Verified,NVIDIA checkpoint / DeepSeek,nvidia/DeepSeek-V3.2-NVFP4,Aggregated round-robin,Control,TRT-LLM,32x GB200,32,Aggregated serving; Round-robin routing,Long-context reuse,Same fixed-schedule trace,recipes/deepseek-v32-fp4/trtllm/agg-round-robin/deploy.yaml,recipes/deepseek-v32-fp4/trtllm/agg-round-robin/perf.yaml,perf.yaml,"README plot link, numeric placeholder",expected results,Does disaggregated KV-aware routing with WideEP improve latency and goodput against an aggregated round-robin control?,"Model, TensorRT-LLM runtime, 32x GB200 target, synthetic coding trace, and TTFT/ITL thresholds.",Keeps DEP8 and hardware constant while removing the P/D split and KV-aware routing.,Throughput is fixed by the replay schedule; latency and goodput are the comparison signals. | Numeric result placeholders remain until the source recipe includes benchmark tables or artifacts.
qwen3-vl-30b,Qwen3-VL-30B,comparative_recipe,Verified,Qwen,Qwen/Qwen3-VL-30B-A3B-Instruct-FP8,Aggregated + embedding cache ON,Recommended treatment,vLLM,1x GB200,1,Aggregated serving; Embedding cache,Multimodal reuse,"1,000 requests, 80% image reuse",recipes/qwen3-vl-30b/vllm/agg-embedding-cache/deploy.yaml,recipes/qwen3-vl-30b/vllm/agg-embedding-cache/perf.yaml,perf.yaml,README numeric table,None,Does enabling the multimodal embedding cache improve repeated-image traffic on a single GB200 worker?,"Model, vLLM runtime, 1x GB200 worker, generated JSONL dataset, and 1,000-request benchmark.",Higher output TPS and lower TTFT when repeated images remain cacheable.,"Cache OFF is implemented by setting DYN_MULTIMODAL_EMBEDDING_CACHE_GB=0 and CACHE_MODE=cache_off before applying the manifests. | Exact hit rate still depends on runtime eviction behavior, not just image reuse in the generated JSONL."
qwen3-vl-30b,Qwen3-VL-30B,comparative_recipe,Verified,Qwen,Qwen/Qwen3-VL-30B-A3B-Instruct-FP8,Aggregated cache OFF baseline,Control,vLLM,1x GB200,1,Aggregated serving,Multimodal reuse,Same generated JSONL,recipes/qwen3-vl-30b/vllm/agg-embedding-cache/deploy.yaml,recipes/qwen3-vl-30b/vllm/agg-embedding-cache/perf.yaml,perf.yaml,README numeric table,None,Does enabling the multimodal embedding cache improve repeated-image traffic on a single GB200 worker?,"Model, vLLM runtime, 1x GB200 worker, generated JSONL dataset, and 1,000-request benchmark.","Control run for measuring cache impact before changing image pool, cache size, or request rate.","Cache OFF is implemented by setting DYN_MULTIMODAL_EMBEDDING_CACHE_GB=0 and CACHE_MODE=cache_off before applying the manifests. | Exact hit rate still depends on runtime eviction behavior, not just image reuse in the generated JSONL."
kimi-k2-5,Kimi-K2.5 NVFP4,comparative_recipe_with_deploy_only_sibling,Verified,Moonshot / NVIDIA,nvidia/Kimi-K2.5-NVFP4,Disagg + Eagle + KV router + offload,Recommended treatment,TRT-LLM,24x GB200,24,Disaggregated prefill/decode; KV-aware routing; Eagle speculative decoding; KV cache offload,Agentic coding trace,"Agentic coding trace, 1 hour replay",recipes/kimi-k2.5/trtllm/disagg-eagle-kv-router/deploy.yaml,recipes/kimi-k2.5/trtllm/disagg-eagle-kv-router/perf.yaml,perf.yaml,README numeric table,None,"How much do KV-aware routing, Eagle speculative decoding, disaggregation, and KV offload help on long-context agentic coding traffic?","Model, TensorRT-LLM runtime, 24x GB200 benchmark cluster, AIPerf agentic coding trace, and one-hour benchmark duration.",Best benchmarked point for throughput and interactivity on KV-reuse-heavy traffic.,The TokenSpeed path requires a local image build and no public Dynamo+TokenSpeed image is cited in the README. | The four TensorRT-LLM arms should be run one at a time because the manifests are sized for the full 24 GPUs.
kimi-k2-5,Kimi-K2.5 NVFP4,comparative_recipe_with_deploy_only_sibling,Verified,Moonshot / NVIDIA,nvidia/Kimi-K2.5-NVFP4,Agg + Eagle + KV router,Treatment,TRT-LLM,24x GB200,24,Aggregated serving; KV-aware routing; Eagle speculative decoding,Agentic coding trace,Same agentic trace,recipes/kimi-k2.5/trtllm/agg-eagle-kv-router/deploy.yaml,recipes/kimi-k2.5/trtllm/agg-eagle-kv-router/perf.yaml,perf.yaml,README numeric table,None,"How much do KV-aware routing, Eagle speculative decoding, disaggregation, and KV offload help on long-context agentic coding traffic?","Model, TensorRT-LLM runtime, 24x GB200 benchmark cluster, AIPerf agentic coding trace, and one-hour benchmark duration.",Keeps prefix-aware routing and Eagle while removing P/D split and KV offload.,The TokenSpeed path requires a local image build and no public Dynamo+TokenSpeed image is cited in the README. | The four TensorRT-LLM arms should be run one at a time because the manifests are sized for the full 24 GPUs.
kimi-k2-5,Kimi-K2.5 NVFP4,comparative_recipe_with_deploy_only_sibling,Verified,Moonshot / NVIDIA,nvidia/Kimi-K2.5-NVFP4,Agg + Eagle + round-robin,Control,TRT-LLM,24x GB200,24,Aggregated serving; Round-robin routing; Eagle speculative decoding,Agentic coding trace,Same agentic trace,recipes/kimi-k2.5/trtllm/agg-eagle-round-robin/deploy.yaml,recipes/kimi-k2.5/trtllm/agg-eagle-round-robin/perf.yaml,perf.yaml,README numeric table,None,"How much do KV-aware routing, Eagle speculative decoding, disaggregation, and KV offload help on long-context agentic coding traffic?","Model, TensorRT-LLM runtime, 24x GB200 benchmark cluster, AIPerf agentic coding trace, and one-hour benchmark duration.",Keeps Eagle and switches routing from KV-aware to round-robin.,The TokenSpeed path requires a local image build and no public Dynamo+TokenSpeed image is cited in the README. | The four TensorRT-LLM arms should be run one at a time because the manifests are sized for the full 24 GPUs.
kimi-k2-5,Kimi-K2.5 NVFP4,comparative_recipe_with_deploy_only_sibling,Verified,Moonshot / NVIDIA,nvidia/Kimi-K2.5-NVFP4,Agg + round-robin,Baseline,TRT-LLM,24x GB200,24,Aggregated serving; Round-robin routing,Agentic coding trace,Same agentic trace,recipes/kimi-k2.5/trtllm/agg-round-robin/deploy.yaml,recipes/kimi-k2.5/trtllm/agg-round-robin/perf.yaml,perf.yaml,README numeric table,None,"How much do KV-aware routing, Eagle speculative decoding, disaggregation, and KV offload help on long-context agentic coding traffic?","Model, TensorRT-LLM runtime, 24x GB200 benchmark cluster, AIPerf agentic coding trace, and one-hour benchmark duration.",Base control without Eagle; compare against Eagle rows before choosing speculation.,The TokenSpeed path requires a local image build and no public Dynamo+TokenSpeed image is cited in the README. | The four TensorRT-LLM arms should be run one at a time because the manifests are sized for the full 24 GPUs.
kimi-k2-5,Kimi-K2.5 NVFP4,comparative_recipe_with_deploy_only_sibling,Verified,Moonshot / NVIDIA,nvidia/Kimi-K2.5-NVFP4,TokenSpeed agg,Deploy-only sibling,TokenSpeed,4x B200,4,Aggregated serving,Deployment only,Deploy-only validation,recipes/kimi-k2.5/tokenspeed/agg/nvidia/deploy.yaml,,None,README numeric table,benchmark instructions,"How much do KV-aware routing, Eagle speculative decoding, disaggregation, and KV offload help on long-context agentic coding traffic?","Model, TensorRT-LLM runtime, 24x GB200 benchmark cluster, AIPerf agentic coding trace, and one-hour benchmark duration.","Useful local-image path, but not comparable to benchmarked TRT-LLM rows.",The TokenSpeed path requires a local image build and no public Dynamo+TokenSpeed image is cited in the README. | The four TensorRT-LLM arms should be run one at a time because the manifests are sized for the full 24 GPUs.
glm-5-nvfp4,GLM-5 NVFP4,standalone_recipe,Verified,NVIDIA / Z.AI,zai-org/GLM-5-NVFP4,SGLang disaggregated prefill/decode,Recipe,SGLang,20x GB200,20,Aggregated serving; Disaggregated prefill/decode,Long output / static ISL-OSL,1K ISL / 8K OSL,recipes/glm-5-nvfp4/sglang/disagg/deploy.yaml,recipes/glm-5-nvfp4/sglang/disagg/perf.yaml,perf.yaml,README numeric table,None,What is the validated SGLang disaggregated recipe for long-output GLM-5 NVFP4 serving on GB200?,"Single recipe path: SGLang P/D, GB200, EAGLE speculative decoding, and 1K/8K benchmark.",Use as the current benchmark-backed GLM-5 path; it stresses long output with a large decode rank group.,"This is not a comparison page; the single row is a recipe, not a selectable experiment arm. | TTFT includes queueing because this is a concurrency-burst benchmark."
gpt-oss-120b,GPT-OSS-120B,alternative_recipe_set,Verified,OpenAI,openai/gpt-oss-120b,TensorRT-LLM aggregated,Alternative,TRT-LLM,4x GB200,4,Aggregated serving,Static ISL-OSL,"128 ISL / 1K OSL, 3,600 total concurrency",recipes/gpt-oss-120b/trtllm/agg/deploy.yaml,recipes/gpt-oss-120b/trtllm/agg/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM recipe matches the traffic shape: high-concurrency short prompts or long-context generation?,"Same model family and TensorRT-LLM backend, but benchmark traffic differs by variant. Do not treat this as an aggregated-vs-disaggregated result comparison.","Use for short-prompt, long-output, high-concurrency throughput testing.","The disaggregated README describes a 5-GPU deployment family while perf.yaml sets DEPLOYMENT_GPU_COUNT=6; keep that caveat visible until reconciled. | This page is an alternative set, not a clean comparison set."
gpt-oss-120b,GPT-OSS-120B,alternative_recipe_set,Verified,OpenAI,openai/gpt-oss-120b,TensorRT-LLM disaggregated,Alternative,TRT-LLM,5 deploy GPUs / 6 benchmark GPUs,,Aggregated serving; Disaggregated prefill/decode,Long output / static ISL-OSL,"8K ISL / 1K OSL, 1,536 total concurrency",recipes/gpt-oss-120b/trtllm/disagg/deploy.yaml,recipes/gpt-oss-120b/trtllm/disagg/perf.yaml,perf.yaml,Placeholder,expected results,Which TensorRT-LLM recipe matches the traffic shape: high-concurrency short prompts or long-context generation?,"Same model family and TensorRT-LLM backend, but benchmark traffic differs by variant. Do not treat this as an aggregated-vs-disaggregated result comparison.",Use for long-context generation where P/D separation is the target shape.,"The disaggregated README describes a 5-GPU deployment family while perf.yaml sets DEPLOYMENT_GPU_COUNT=6; keep that caveat visible until reconciled. | This page is an alternative set, not a clean comparison set."
deepseek-r1,DeepSeek-R1,alternative_recipe_set,Preview,DeepSeek,deepseek-ai/DeepSeek-R1,SGLang disagg 8 GPU,Deploy-only alternative,SGLang,16x H200,16,Disaggregated prefill/decode; WideEP; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-r1/sglang/disagg-8gpu/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which backend and hardware target should serve the 671B DeepSeek-R1 MoE model?,"Same DeepSeek-R1 model family, but variants differ by backend, hardware, and benchmark coverage.",Single-node SGLang WideEP path with TP=8 per worker; add perf.yaml before making performance claims.,"Backend-specific READMEs are thin, so this page keeps source-path evidence visible and avoids overclaiming readiness. | The TRT-LLM row uses an FP4 checkpoint while the top-level README describes the broader DeepSeek-R1 family."
deepseek-r1,DeepSeek-R1,alternative_recipe_set,Preview,DeepSeek,deepseek-ai/DeepSeek-R1,SGLang disagg 16 GPU,Deploy-only alternative,SGLang,32x H200,32,Disaggregated prefill/decode; WideEP; Expert parallel / MoE,Deployment only,Deployment validation,recipes/deepseek-r1/sglang/disagg-16gpu/deploy.yaml,,None,Placeholder,benchmark instructions; expected results,Which backend and hardware target should serve the 671B DeepSeek-R1 MoE model?,"Same DeepSeek-R1 model family, but variants differ by backend, hardware, and benchmark coverage.",Multi-node SGLang WideEP path with TP=16 per worker.,"Backend-specific READMEs are thin, so this page keeps source-path evidence visible and avoids overclaiming readiness. | The TRT-LLM row uses an FP4 checkpoint while the top-level README describes the broader DeepSeek-R1 family."
