model_key	model_label	model_id	run_id	worker_pod	lane	label	parent	relationship	source	confidence	start_s_after_container	end_s_after_container	duration_s	start_iso	end_iso
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Container start -> first Python/vLLM log		additive	k8s.container.startedAt + worker log	coarse-start	0.000	5.615	5.615	2026-05-01T00:23:59.000Z	2026-05-01T00:24:04.615Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Main-process vLLM platform detection		additive	vllm.platforms	measured	5.615	5.677	0.062	2026-05-01T00:24:04.615Z	2026-05-01T00:24:04.677Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Python import / Dynamo module load gap		additive	log gap before dynamo.nixl_connect	inferred-gap	5.677	14.617	8.940	2026-05-01T00:24:04.677Z	2026-05-01T00:24:13.617Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Dynamo CLI/config parse to offline model path		additive	arg_utils.__post_init__	inferred-gap	14.617	15.264	0.647	2026-05-01T00:24:13.617Z	2026-05-01T00:24:14.264Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	HF cache local path check		additive	dynamo_llm::hub	measured-but-not-blog-critical	15.264	15.629	0.365	2026-05-01T00:24:14.264Z	2026-05-01T00:24:14.629Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Runtime/discovery/status-server bootstrap		additive	Dynamo runtime logs	measured	15.629	15.643	0.014	2026-05-01T00:24:14.629Z	2026-05-01T00:24:14.643Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	vLLM model-class inspection		additive	registry.inspect_model_cls	measured	15.658	26.071	10.413	2026-05-01T00:24:14.658Z	2026-05-01T00:24:25.071Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	vLLM engine config, tokenizer, renderer, child spawn		additive	create_engine_config + tokenizer/renderer + AsyncLLM child spawn	inferred-gap	26.071	32.017	5.946	2026-05-01T00:24:25.071Z	2026-05-01T00:24:31.017Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	EngineCore child Python/bootstrap		additive	EngineCore logs	measured	32.017	32.938	0.921	2026-05-01T00:24:31.017Z	2026-05-01T00:24:31.938Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	EngineCore pre-load setup		additive	EngineCore setup before worker.load_model	inferred-gap	32.938	35.905	2.967	2026-05-01T00:24:31.938Z	2026-05-01T00:24:34.905Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_parent	Model load total		parent	worker.load_model	instrumented	35.905	36.973	1.068	2026-05-01T00:24:34.905Z	2026-05-01T00:24:35.973Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_parent	KV/profile/warmup total		parent	engine.initialize_kv_caches_total	instrumented	36.974	58.315	21.341	2026-05-01T00:24:35.973Z	2026-05-01T00:24:57.315Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Determine available memory total	KV/profile/warmup total	nested	worker.determine_available_memory_total	instrumented	36.974	55.286	18.312	2026-05-01T00:24:35.973Z	2026-05-01T00:24:54.286Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Profile run	Determine available memory total	nested	worker.profile_run	instrumented	37.107	54.404	17.297	2026-05-01T00:24:36.106Z	2026-05-01T00:24:53.404Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	torch.compile	Profile run	nested	vllm.log.torch_compile	log-duration-derived	37.116	53.786	16.670	2026-05-01T00:24:36.116Z	2026-05-01T00:24:52.786Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Initial profiling/warmup forward	Profile run	nested	vllm.log.initial_profile_warmup	log-duration-derived	53.790	54.070	0.280	2026-05-01T00:24:52.790Z	2026-05-01T00:24:53.070Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Profile CUDA graph memory	Determine available memory total	nested	worker.profile_cudagraph_memory	instrumented	54.405	55.111	0.706	2026-05-01T00:24:53.404Z	2026-05-01T00:24:54.111Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Memory profiling context	Determine available memory total	nested	vllm.log.memory_profiling	log-duration-derived	37.106	55.286	18.180	2026-05-01T00:24:36.106Z	2026-05-01T00:24:54.286Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Engine initialize_from_config	KV/profile/warmup total	nested	engine.initialize_from_config	instrumented	55.287	58.314	3.027	2026-05-01T00:24:54.287Z	2026-05-01T00:24:57.314Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Worker KV allocation total	Engine initialize_from_config	nested	worker.initialize_from_config_total	instrumented	55.287	55.309	0.022	2026-05-01T00:24:54.287Z	2026-05-01T00:24:54.309Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Ensure KV transfer init	Worker KV allocation total	nested	worker.ensure_kv_transfer_initialized	instrumented	55.288	55.288	0.000	2026-05-01T00:24:54.287Z	2026-05-01T00:24:54.288Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Initialize KV cache	Worker KV allocation total	nested	worker.initialize_kv_cache	instrumented	55.288	55.309	0.021	2026-05-01T00:24:54.287Z	2026-05-01T00:24:54.309Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	compile_or_warm_up_model total	Engine initialize_from_config	nested	worker.compile_or_warm_up_model_total	instrumented	55.310	58.314	3.004	2026-05-01T00:24:54.309Z	2026-05-01T00:24:57.314Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Remove LoRAs after compile warmup	compile_or_warm_up_model total	nested	worker.remove_loras_after_compile_warmup	instrumented	55.310	55.310	0.000	2026-05-01T00:24:54.309Z	2026-05-01T00:24:54.310Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Kernel warmup	compile_or_warm_up_model total	nested	worker.kernel_warmup	instrumented	55.310	55.406	0.096	2026-05-01T00:24:54.310Z	2026-05-01T00:24:54.406Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	CUDA graph capture	compile_or_warm_up_model total	nested	worker.capture_model	instrumented	55.406	58.301	2.895	2026-05-01T00:24:54.406Z	2026-05-01T00:24:57.301Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	vllm_child	Sampler/V2 warmup	compile_or_warm_up_model total	nested	worker.sampler_warmup	instrumented	58.302	58.314	0.012	2026-05-01T00:24:57.302Z	2026-05-01T00:24:57.314Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Engine post-init parent-process tail		additive	AsyncLLM.from_vllm_config return + parent bookkeeping	inferred-gap	58.315	59.042	0.727	2026-05-01T00:24:57.315Z	2026-05-01T00:24:58.042Z
qwen3-06b	Qwen3 0.6B	Qwen/Qwen3-0.6B	cold-qwen3-06b-0501002346	cold-qwen3-06b-0501002346-worker-f105028e-758d569ddb-78ktt	critical_path	Dynamo registration/discovery to first chat		additive	Dynamo registration + frontend first chat	inferred-gap	59.090	63.846	4.756	2026-05-01T00:24:58.090Z	2026-05-01T00:25:02.846Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Container start -> first Python/vLLM log		additive	k8s.container.startedAt + worker log	coarse-start	0.000	5.081	5.081	2026-05-01T00:25:51.000Z	2026-05-01T00:25:56.081Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Main-process vLLM platform detection		additive	vllm.platforms	measured	5.081	5.143	0.062	2026-05-01T00:25:56.081Z	2026-05-01T00:25:56.143Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Python import / Dynamo module load gap		additive	log gap before dynamo.nixl_connect	inferred-gap	5.143	14.097	8.954	2026-05-01T00:25:56.143Z	2026-05-01T00:26:05.097Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Dynamo CLI/config parse to offline model path		additive	arg_utils.__post_init__	inferred-gap	14.097	14.761	0.664	2026-05-01T00:26:05.097Z	2026-05-01T00:26:05.761Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	HF cache local path check		additive	dynamo_llm::hub	measured-but-not-blog-critical	14.761	15.079	0.318	2026-05-01T00:26:05.761Z	2026-05-01T00:26:06.079Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	Runtime/discovery/status-server bootstrap		additive	Dynamo runtime logs	measured	15.079	15.094	0.015	2026-05-01T00:26:06.079Z	2026-05-01T00:26:06.094Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	vLLM model-class inspection		additive	registry.inspect_model_cls	measured	15.110	25.353	10.243	2026-05-01T00:26:06.110Z	2026-05-01T00:26:16.353Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	vLLM engine config, tokenizer, renderer, child spawn		additive	create_engine_config + tokenizer/renderer + AsyncLLM child spawn	inferred-gap	25.353	31.217	5.864	2026-05-01T00:26:16.353Z	2026-05-01T00:26:22.217Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	EngineCore child Python/bootstrap		additive	EngineCore logs	measured	31.217	32.051	0.834	2026-05-01T00:26:22.217Z	2026-05-01T00:26:23.051Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	critical_path	EngineCore pre-load setup		additive	EngineCore setup before worker.load_model	inferred-gap	32.051	35.000	2.949	2026-05-01T00:26:23.051Z	2026-05-01T00:26:25.999Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_parent	Model load total		parent	worker.load_model	instrumented	35.000	38.784	3.784	2026-05-01T00:26:25.999Z	2026-05-01T00:26:29.784Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_parent	KV/profile/warmup total		parent	engine.initialize_kv_caches_total	instrumented	38.784	63.758	24.974	2026-05-01T00:26:29.784Z	2026-05-01T00:26:54.758Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Determine available memory total	KV/profile/warmup total	nested	worker.determine_available_memory_total	instrumented	38.785	59.524	20.739	2026-05-01T00:26:29.785Z	2026-05-01T00:26:50.524Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Profile run	Determine available memory total	nested	worker.profile_run	instrumented	38.904	58.665	19.761	2026-05-01T00:26:29.904Z	2026-05-01T00:26:49.665Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	torch.compile	Profile run	nested	vllm.log.torch_compile	log-duration-derived	38.907	57.857	18.950	2026-05-01T00:26:29.907Z	2026-05-01T00:26:48.857Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Initial profiling/warmup forward	Profile run	nested	vllm.log.initial_profile_warmup	log-duration-derived	57.857	58.317	0.460	2026-05-01T00:26:48.857Z	2026-05-01T00:26:49.317Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Profile CUDA graph memory	Determine available memory total	nested	worker.profile_cudagraph_memory	instrumented	58.665	59.347	0.682	2026-05-01T00:26:49.665Z	2026-05-01T00:26:50.347Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Memory profiling context	Determine available memory total	nested	vllm.log.memory_profiling	log-duration-derived	38.903	59.523	20.620	2026-05-01T00:26:29.903Z	2026-05-01T00:26:50.523Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Engine initialize_from_config	KV/profile/warmup total	nested	engine.initialize_from_config	instrumented	59.525	63.758	4.233	2026-05-01T00:26:50.525Z	2026-05-01T00:26:54.758Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Worker KV allocation total	Engine initialize_from_config	nested	worker.initialize_from_config_total	instrumented	59.525	59.547	0.022	2026-05-01T00:26:50.525Z	2026-05-01T00:26:50.547Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Ensure KV transfer init	Worker KV allocation total	nested	worker.ensure_kv_transfer_initialized	instrumented	59.525	59.525	0.000	2026-05-01T00:26:50.524Z	2026-05-01T00:26:50.525Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	Initialize KV cache	Worker KV allocation total	nested	worker.initialize_kv_cache	instrumented	59.525	59.547	0.022	2026-05-01T00:26:50.525Z	2026-05-01T00:26:50.547Z
qwen3-8b	Qwen3 8B	Qwen/Qwen3-8B	cold-qwen3-8b-0501002534	cold-qwen3-8b-0501002534-worker-c602582f-7db6b6b9b9-5w8f9	vllm_child	compile_or_warm_up_model total	Engine initialize_from_config	nested	worker.compile_or_warm_up_model_total	instrumented	59.548	63.758	4.210	2026-05-01T00:26:50.547Z	2026-05-01T00:26:54.758Z
