"model_slug","model","provider","variant","recipe_path","perf_path","runtime","hardware","gpu_count","serving_techniques","workload_type","benchmark_mode","traffic_shape","concurrency","request_volume","goodput_sla","notes"
"deepseek-r1","DeepSeek-R1","DeepSeek","TensorRT-LLM disaggregated WideEP","recipes/deepseek-r1/trtllm/disagg/wide_ep/gb200","recipes/deepseek-r1/trtllm/disagg/wide_ep/gb200/perf.yaml","TensorRT-LLM","GB200","36","Disaggregated prefill/decode; WideEP; FP4 checkpoint; multi-node GB200","Static balanced generation","Synthetic static ISL/OSL","ISL 1024; OSL 1024; 12,800 dataset entries","1080 total; 30 per GPU","10x concurrency","None in perf.yaml","Concurrency is derived from CONCURRENCY_PER_GPU x DEPLOYMENT_GPU_COUNT."
"deepseek-v32-fp4","DeepSeek V3.2 NVFP4","NVIDIA checkpoint","Aggregated round-robin","recipes/deepseek-v32-fp4/trtllm/agg-round-robin","recipes/deepseek-v32-fp4/trtllm/agg-round-robin/perf.yaml","TensorRT-LLM","GB200","32","Aggregated serving; round-robin routing; DEP8 workers; NVFP4; GB200 MNNVL","Long-context coding reuse","Mooncake-derived fixed trace replay","Synthetic coding trace; avg ISL 39,186; avg OSL 344; max ISL 109,459; ~44% KV hit rate","Fixed schedule","10,000 trace requests","TTFT 20s; ITL 50ms","Includes a small 10-request synthetic smoke before the trace replay."
"deepseek-v32-fp4","DeepSeek V3.2 NVFP4","NVIDIA checkpoint","Disaggregated KV router","recipes/deepseek-v32-fp4/trtllm/disagg-kv-router","recipes/deepseek-v32-fp4/trtllm/disagg-kv-router/perf.yaml","TensorRT-LLM","GB200","32","Disaggregated prefill/decode; KV-aware routing; WideEP DEP8; NVFP4; GB200 MNNVL","Long-context coding reuse","Mooncake-derived fixed trace replay","Synthetic coding trace; avg ISL 39,186; avg OSL 344; max ISL 109,459; ~44% KV hit rate","Fixed schedule","10,000 trace requests","TTFT 20s; ITL 50ms","This is the GB200 WideEP comparison row with the strongest recipe-story fit."
"deepseek-v4-pro","DeepSeek-V4-Pro","DeepSeek","vLLM disaggregated GB200","recipes/deepseek-v4/deepseek-v4-pro/vllm/disagg/gb200","recipes/deepseek-v4/deepseek-v4-pro/vllm/disagg/gb200/perf.yaml","vLLM","GB200","16","Disaggregated prefill/decode; DP8 plus expert parallel; NIXL KV transfer; MNNVL ComputeDomain; FP4 indexer cache","Static long-context generation","Synthetic static ISL/OSL concurrency sweep","ISL 8192; OSL 1024; 12,800 dataset entries","256 / 512 / 1024","3x concurrency per sweep point","None in perf.yaml","Experimental Day-0 recipe; benchmark is only provided for the GB200 disaggregated vLLM variant."
"deepseek-v4-flash","DeepSeek-V4-Flash","DeepSeek","Aggregated deploy variants","recipes/deepseek-v4/deepseek-v4-flash","None","vLLM; SGLang","B200; GB200","4","Aggregated serving; vLLM DP4+EP or TP4+EP; SGLang TP4; MXFP4 MoE; optional EAGLE MTP","Deployment only","No benchmark YAML","No benchmark traffic captured in repo","None","None","None","Visible in catalog as deployment-only until a perf.yaml is added."
"glm-5-nvfp4","GLM-5 NVFP4","NVIDIA / Z.AI","SGLang disaggregated","recipes/glm-5-nvfp4/sglang/disagg","recipes/glm-5-nvfp4/sglang/disagg/perf.yaml","SGLang","GB200","20","Disaggregated prefill/decode; EAGLE speculative decoding; FP8 KV cache; NIXL/UCX KV transfer; TP16 decode plus TP4 prefill","Long-output generation","Synthetic static ISL/OSL","ISL 1000; OSL 8192; 12,800 dataset entries","512","1,536 requests","None in perf.yaml","Reference run in README reports 16,824 output tokens/sec and 0 errors."
"gpt-oss-120b","GPT-OSS-120B","OpenAI","TensorRT-LLM aggregated","recipes/gpt-oss-120b/trtllm/agg","recipes/gpt-oss-120b/trtllm/agg/perf.yaml","TensorRT-LLM","GB200","4","Aggregated serving; WideEP; ARM64 Blackwell target","High-throughput generation","Synthetic static ISL/OSL","ISL 128; OSL 1000; 12,800 dataset entries","3600 total; 900 per GPU","10x concurrency","None in perf.yaml","Short prompt / long output stress for high concurrency."
"gpt-oss-120b","GPT-OSS-120B","OpenAI","TensorRT-LLM disaggregated","recipes/gpt-oss-120b/trtllm/disagg","recipes/gpt-oss-120b/trtllm/disagg/perf.yaml","TensorRT-LLM","GB200 / Blackwell","6","Disaggregated prefill/decode; Blackwell target; TensorRT-LLM","Static long-context generation","Synthetic static ISL/OSL","ISL 8192; OSL 1024; 12,800 dataset entries","1536 total; 256 per GPU","10x concurrency","None in perf.yaml","GPU count comes from benchmark env; README says 5x Blackwell for the deployment family."
"kimi-k2.5","Kimi-K2.5 NVFP4","Moonshot / NVIDIA","Aggregated Eagle KV router","recipes/kimi-k2.5/trtllm/agg-eagle-kv-router","recipes/kimi-k2.5/trtllm/agg-eagle-kv-router/perf.yaml","TensorRT-LLM","GB200","24","Aggregated serving; KV-aware routing; EAGLE3 speculative decoding; TRT-LLM NVFP4","Agentic coding trace","Mooncake-format trace replay","Agentic coding trace from AIPerf; long-context multi-session traffic","24","1 hour benchmark duration","TTFT 5s; ITL 10ms","One of four Kimi variants sharing the same agentic coding dataset."
"kimi-k2.5","Kimi-K2.5 NVFP4","Moonshot / NVIDIA","Aggregated Eagle round-robin","recipes/kimi-k2.5/trtllm/agg-eagle-round-robin","recipes/kimi-k2.5/trtllm/agg-eagle-round-robin/perf.yaml","TensorRT-LLM","GB200","24","Aggregated serving; round-robin routing; EAGLE3 speculative decoding; TRT-LLM NVFP4","Agentic coding trace","Mooncake-format trace replay","Agentic coding trace from AIPerf; long-context multi-session traffic","24","1 hour benchmark duration","TTFT 5s; ITL 10ms","Separates speculative decoding from KV-aware routing."
"kimi-k2.5","Kimi-K2.5 NVFP4","Moonshot / NVIDIA","Aggregated round-robin","recipes/kimi-k2.5/trtllm/agg-round-robin","recipes/kimi-k2.5/trtllm/agg-round-robin/perf.yaml","TensorRT-LLM","GB200","24","Aggregated serving; round-robin routing; no EAGLE; TRT-LLM NVFP4","Agentic coding trace","Mooncake-format trace replay","Agentic coding trace from AIPerf; long-context multi-session traffic","8","1 hour benchmark duration","TTFT 5s; ITL 10ms","Baseline variant without speculative decoding."
